image_id,dataset,category,role
44ef7e8d552f79cf7b75c539,AD2,rice,fit
4b00bbcc60d76837b5f94fcd,AD2,rice,check
5430e825aebc61087195e07a,AD2,rice,fit
57058aeac729617e2def35c3,AD2,rice,check
57dfe10ba643b9b4bef2e199,AD2,rice,fit
647b63419446f278193069ad,AD2,rice,check
3e7f296ac8792a06555764a9,AD2,sheet_metal,fit
483291c390d2fbe87cef3b65,AD2,sheet_metal,check
4af4e865c181e9c69ada487e,AD2,sheet_metal,fit
5bbeb7cc3f8e53387c03d522,AD2,sheet_metal,check
64454bfa5e7865a60cb04a23,AD2,sheet_metal,fit
6ba8179ef8fce6b693b7a644,AD2,sheet_metal,check
6c7c34c8b77b4a056d31e7b4,AD2,sheet_metal,fit
783db9c1f3111652b5ad2893,AD2,sheet_metal,check
9e0730c8ce7ec8333275ddd8,AD2,sheet_metal,fit
9e18859ce1f2e7214b58ef48,AD2,sheet_metal,check
a52750a6214c5b3ef2d7aecb,AD2,sheet_metal,fit
a6d307e003ec0be6665cd2cb,AD2,sheet_metal,check
a8d3759f35fb203c5468e458,AD2,sheet_metal,fit
bb1ca9455cd0bd26cf66383b,AD2,sheet_metal,check
cea9d2269b2d52201c5dcdb8,AD2,sheet_metal,fit
d3f4e1e3dd28ba74de79bfec,AD2,sheet_metal,check
073c0084713d3f4b66ad53d9,AD2,vial,fit
07b0c099448a428ef03b7c70,AD2,vial,check
0c7c2a2b2b9e5500c6085b15,AD2,vial,fit
1fea7664873b87e19fddb01c,AD2,vial,check
21aeaed38acc1c81c4636d3a,AD2,vial,fit
3a649528113cc6aa11a92df8,AD2,vial,check
3e8b591f7d43623dc087a44d,AD2,vial,fit
492345bf27cf6889f41eb1ea,AD2,vial,check
4b5bab521bea904ab75e4e3d,AD2,vial,fit
4c346872c96faf41c22ad139,AD2,vial,check
523d78b801ed0005a8490523,AD2,vial,fit
5cf003a161e67040d092f358,AD2,vial,check
5e07cf720a7a9d5ac6015c2d,AD2,vial,fit
619e4ae99472e2a155ff92e2,AD2,vial,check
66cc934fa019a91d09fd2244,AD2,vial,fit
6ee7ce63b9bb158664648b0b,AD2,vial,check
0425d308a69a618c2ab4de4c,AD2,wallplugs,fit
0cb30675cf9def02306445a8,AD2,wallplugs,check
0e4bbaeeb71133033c2d0e11,AD2,wallplugs,fit
18be6da02efa1d3ec072bb68,AD2,wallplugs,check
2aa4312b20b4f509907fd148,AD2,wallplugs,fit
3049f4072304d8729c4c446d,AD2,wallplugs,check
3a19d11dea52ee4a8a5e1c79,AD2,wallplugs,fit
3a58ec873d47c5162803018e,AD2,wallplugs,check
4658c36ba9f6002e523d6c54,AD2,wallplugs,fit
46be73a576dca348082753ee,AD2,wallplugs,check
4f2280242df9ade88fc0f55a,AD2,wallplugs,fit
51e2ff01716da4e71da3127b,AD2,wallplugs,check
55259356df053a03dbd76671,AD2,wallplugs,fit
65a81ba3351a3f9a01d4d9fe,AD2,wallplugs,check
6709d9d9d2fc7d6cbd05f085,AD2,wallplugs,fit
718b124d2a4c31c5a4b66499,AD2,wallplugs,check
0802390f5c339ba8c8ae3887,AD2,walnuts,fit
0bab1d3b6f61a79ea0a1448f,AD2,walnuts,check
0bed13e6890379244fb11ca3,AD2,walnuts,fit
1f3b415079392a7d5d435bb9,AD2,walnuts,check
1f752345f641483c279343b0,AD2,walnuts,fit
272f9287d571db176e781e16,AD2,walnuts,check
294c3f97b10521c48e09760a,AD2,walnuts,fit
2aebbbda18aa1f0b198a15b6,AD2,walnuts,check
2cf6234364d34cb8699ce08c,AD2,walnuts,fit
328e8e6cb8f32a6088270827,AD2,walnuts,check
3cbc74a7005ecc86b6ec900a,AD2,walnuts,fit
3e265dd032284b3e28345a12,AD2,walnuts,check
40b1e54312453e7816b0194e,AD2,walnuts,fit
49caef93e08f65b6979a59fa,AD2,walnuts,check
4bd5f70ffdef5fc2c447dd68,AD2,walnuts,fit
4d8943cbb2b7fc0356325cd1,AD2,walnuts,check
018907bf1dcc6fa36230be24,VisA,candle,fit
03d45ac46432e3ce12e9c228,VisA,candle,check
0cb264047a386dc042459bb5,VisA,candle,fit
0dda1a135de067aabc798673,VisA,candle,check
11b7553dab9fb5b3074cafdd,VisA,candle,fit
1407a172b880c651154bb622,VisA,candle,check
1dd3bc2747366c4eb6b20337,VisA,candle,fit
1eacea85f68939f737504131,VisA,candle,check
24c93f8bdc5630c40b583c23,VisA,candle,fit
28023ea0a103af5b6d8c691c,VisA,candle,check
2e80f741e604873cc90e0eda,VisA,candle,fit
2fb1025316c6a72a5b1a6459,VisA,candle,check
32af7e9c3515f7af9bb99b62,VisA,candle,fit
35555342b9e396a1963cb9ad,VisA,candle,check
374d1b7e63e3e8805e3ad727,VisA,candle,fit
380098d5d0df7c3e5cff93b3,VisA,candle,check
047db873a05810fcda286a47,VisA,capsules,fit
0845266d6be0fd688dc17242,VisA,capsules,check
09e0b6e30fcde8d2f54bf4c9,VisA,capsules,fit
0d8fb53cb46104723849863f,VisA,capsules,check
104202d8105249aef86ff520,VisA,capsules,fit
12ba1308e47a4f1dc1747127,VisA,capsules,check
146c618853c1f49e4fe5f1b4,VisA,capsules,fit
173701949d743b7b1d521070,VisA,capsules,check
1b33480f8aea3be16cb6a2d8,VisA,capsules,fit
24ee535041cee94a25f2fdb5,VisA,capsules,check
2c84e980c743129cd0195112,VisA,capsules,fit
37cc53368a48db45ad355685,VisA,capsules,check
3e0fcdbef073fb82a436537c,VisA,capsules,fit
3facff53d495e28f01bd0949,VisA,capsules,check
41ed1c93e75bc8c689a7f654,VisA,capsules,fit
458e337e4cf943748142918d,VisA,capsules,check
01ee342dfd5b8354b1aea66e,VisA,cashew,fit
0262cbcec5e1cd0d258765b7,VisA,cashew,check
043a19ecad6b6e632a61de6e,VisA,cashew,fit
0a3f4efacc8c080b5e45f1e3,VisA,cashew,check
112b7a19f164b02addb8b832,VisA,cashew,fit
14babdb5dce488da2e9a34ad,VisA,cashew,check
1df4ee66b6f32f1a078f9bda,VisA,cashew,fit
28ffc27c6e8ec847a133f404,VisA,cashew,check
344f885b7c547eb7711c6bd8,VisA,cashew,fit
3b9b86dbd9a1f1f9414d782e,VisA,cashew,check
4057fbed4c88ff180fbd60c0,VisA,cashew,fit
45e6ba5641acbdec83b0a2a7,VisA,cashew,check
647d3af05bdafc9bf8a852a6,VisA,cashew,fit
6951c91b111281adff7cce00,VisA,cashew,check
7ae53b7ee78ec4f48bfd58bc,VisA,cashew,fit
7b519b7b774e161dbfdccf0d,VisA,cashew,check
0927c1f5d5a9a77901bb2193,VisA,chewinggum,fit
0c394bf08e88a3dd9642b486,VisA,chewinggum,check
0da3703324727ac18dba4a01,VisA,chewinggum,fit
0f6e007aa1c83969d60acf53,VisA,chewinggum,check
176cb741405f664a94c7ce31,VisA,chewinggum,fit
1dc8e0d8c3bc9d1762191a5f,VisA,chewinggum,check
25e2fb347df6fba18f1fc333,VisA,chewinggum,fit
2929092d7f0bbb793639ef89,VisA,chewinggum,check
29d74589cbfd2cdc682d9d58,VisA,chewinggum,fit
3856a91635d30099bb7fcf74,VisA,chewinggum,check
3a560017489e930e654071f8,VisA,chewinggum,fit
3d854ba58dd959f8d352803c,VisA,chewinggum,check
3fe84800bdb0ea71c4cda19f,VisA,chewinggum,fit
4589e21b3164b5a7eb46ac97,VisA,chewinggum,check
49cfd3771e36f1dff1350104,VisA,chewinggum,fit
4c96b6c59484715d5387d374,VisA,chewinggum,check
187ec13b1b510eb383f41998,VisA,fryum,fit
1f98dd2b529de9650d508502,VisA,fryum,check
217a0b17c65497c55f185785,VisA,fryum,fit
2b5b9374be68900df24ecb5e,VisA,fryum,check
2fba81ebd3e3930a429cd180,VisA,fryum,fit
38571e483c7dc6bf66d971cb,VisA,fryum,check
3c14e5eb31b02c627988fe3a,VisA,fryum,fit
3fe2f9167356a5a592763715,VisA,fryum,check
46169b496645eb9d5932bbbc,VisA,fryum,fit
510797c4bd095a7ae7be3154,VisA,fryum,check
52f493974b2004efd5db4fe3,VisA,fryum,fit
5af2b3138898c85544f9bf83,VisA,fryum,check
5c9e7645e9d13d63d1be91c0,VisA,fryum,fit
5f2369df860435c0defe62cf,VisA,fryum,check
6285dbc152b7d9c364c33d45,VisA,fryum,fit
6d19909d0afd736c1e2f6a11,VisA,fryum,check
0001d619793eb3ae695414e2,VisA,macaroni1,fit
02df69748a07b50164f8a2b3,VisA,macaroni1,check
08002ab5283f57e3502de94f,VisA,macaroni1,fit
0abb3a0c5d5451b75cb255da,VisA,macaroni1,check
0c0fa1e3a2dc78d848aeaf69,VisA,macaroni1,fit
1166c8594ae3b5c7697f2665,VisA,macaroni1,check
133fb97b4a46d6fc89458056,VisA,macaroni1,fit
144fe1ec8e238618d53ce167,VisA,macaroni1,check
1a0f97b2cb81dc637bd48e50,VisA,macaroni1,fit
1baa800086090523864d3a1b,VisA,macaroni1,check
1cb28881694d944bbb3f80b9,VisA,macaroni1,fit
2069e979e6e32af63dfa850b,VisA,macaroni1,check
231c0cde2c49e0eeea924c3b,VisA,macaroni1,fit
261fb9a95a88fcb1fa0c78ef,VisA,macaroni1,check
27b0da8578b6ce1798565d80,VisA,macaroni1,fit
2f1344e756188716f7a60d59,VisA,macaroni1,check
01bf8cf7ec65fafffc6f828f,VisA,macaroni2,fit
020a5d954626c4b1a404f800,VisA,macaroni2,check
038b8c6619fae0cd7ce7e762,VisA,macaroni2,fit
05d2d292b4646a3f67482643,VisA,macaroni2,check
07bb5a747e1b35f0eec2a0a6,VisA,macaroni2,fit
090d122e739584d0c7f23cdb,VisA,macaroni2,check
099c144062092abe11aa0aa5,VisA,macaroni2,fit
0bb0a482b6f4ae9c5be79648,VisA,macaroni2,check
0c2ef6fb8a6a89471eabc757,VisA,macaroni2,fit
10c1074d12d0b26bffeddcc9,VisA,macaroni2,check
11d840114e02446df8c492a5,VisA,macaroni2,fit
13bf20341c4830cea3091af1,VisA,macaroni2,check
15edde4d42eec0fcaf86805b,VisA,macaroni2,fit
16d9a21640b4c5398bb37591,VisA,macaroni2,check
18981c79a709a2099955afbc,VisA,macaroni2,fit
192e84e7b946be7da306b6f5,VisA,macaroni2,check
028a8ed694f12d95e23a969d,VisA,pcb1,fit
06168d4eb3d6ca0eac1c2170,VisA,pcb1,check
0ad73e30af0aac4eb47a7a15,VisA,pcb1,fit
0e3621e82ddde5cd851555ca,VisA,pcb1,check
143ad4f5e3aa749de9e19e42,VisA,pcb1,fit
158ec1fa780fbe8634c4b6d4,VisA,pcb1,check
16808ca8b77a8d208060d473,VisA,pcb1,fit
1d62807987874e278a9a7270,VisA,pcb1,check
1e0cfbaf46ee391693712876,VisA,pcb1,fit
1e72799776d6d5ad2db8d170,VisA,pcb1,check
211c28690cada7a73e485c2c,VisA,pcb1,fit
25acba1aa5e1b52bb5344551,VisA,pcb1,check
27c98f330a51bb6bec3cb19c,VisA,pcb1,fit
28205aa5419aef1b602bb59c,VisA,pcb1,check
29a14b87c1d9fc16c00a4e2b,VisA,pcb1,fit
2e98b674ada86b6b22de31a2,VisA,pcb1,check
03efdb387d15b2540b78a6c8,VisA,pcb2,fit
095beda014022e653475c36b,VisA,pcb2,check
10965014569fe3d9b9ede5df,VisA,pcb2,fit
12171fbf0316dcad8b38685f,VisA,pcb2,check
14cb473b51d004c463f5986d,VisA,pcb2,fit
1515aeba929ba10b3b116d1f,VisA,pcb2,check
28932281ac5c5c99dfb74b40,VisA,pcb2,fit
294d37c7c0cb28ef2e94593a,VisA,pcb2,check
296796e58ab595ea02589263,VisA,pcb2,fit
2d03eefb506238b3665b107e,VisA,pcb2,check
2d3c3782802e3b89af007147,VisA,pcb2,fit
2d629d050315bdc884d9f9b6,VisA,pcb2,check
2da405946147656b13b2812c,VisA,pcb2,fit
2fcc5727f31fddec11eb0a75,VisA,pcb2,check
32d1745f75b3f57218a650b6,VisA,pcb2,fit
3bfe60e64bd8e2a8347bc396,VisA,pcb2,check
00ef6542a72fc9f71ed246e8,VisA,pcb3,fit
03cbf5cf1a692f2373ab2a8d,VisA,pcb3,check
093638d6cb3f3f3e540ecc4f,VisA,pcb3,fit
0f7bf017462b45e7a68ca6e5,VisA,pcb3,check
0fbcacf75c2c461640afa107,VisA,pcb3,fit
1518c0861544d38ef8ffee22,VisA,pcb3,check
1621ba8240391d551eebc9cd,VisA,pcb3,fit
168a3230b835f3681c7b312b,VisA,pcb3,check
1725fd60afdb8a35f9008848,VisA,pcb3,fit
1c4b2f28076091629cfa0602,VisA,pcb3,check
21a2e2ae4ed5897da45480e0,VisA,pcb3,fit
2529cdfcc40639faa27a9811,VisA,pcb3,check
272f7b06c106ec4aeab508f5,VisA,pcb3,fit
2bfaa0e7466b482f776d9d31,VisA,pcb3,check
2eea259b2d4c53ba5ec306db,VisA,pcb3,fit
2fc4278c8f63d13465c3149e,VisA,pcb3,check
04bf308582eed1623c49dada,VisA,pcb4,fit
079717bb7f5b63d42fbcac8f,VisA,pcb4,check
0b2c0ba10cdf39771cd6bf20,VisA,pcb4,fit
0d58adca2a3d073c075adc19,VisA,pcb4,check
0e44d9e4845b53091a4cf53f,VisA,pcb4,fit
15a489cb6d19a6a30ec17d8f,VisA,pcb4,check
19a1d3b29d800c76ff6fbfd5,VisA,pcb4,fit
1a7d46f8b3d178aeddbe62a5,VisA,pcb4,check
24f695d384c6b3426677feed,VisA,pcb4,fit
28df998926d4d358d9c5ac56,VisA,pcb4,check
2a43cdd383f6781febebb40c,VisA,pcb4,fit
359716a72f0b1a59c5e10e43,VisA,pcb4,check
3804cb9e4848ec909fe6f32f,VisA,pcb4,fit
39f2bddc6d4d98d0c1e48e7a,VisA,pcb4,check
3bc26860619f504014ba2ff6,VisA,pcb4,fit
3faa13582214a5ce0bf8a33b,VisA,pcb4,check
23fcd1c48207b6b503632b8e,VisA,pipe_fryum,fit
30ef08bd301438b6b19bc06e,VisA,pipe_fryum,check
341b937d4955b1a6cf4837bc,VisA,pipe_fryum,fit
3d513c48638a987796953ce3,VisA,pipe_fryum,check
40141cfa75fc2f551be734a9,VisA,pipe_fryum,fit
469c9bfc44abe9cfdc31a310,VisA,pipe_fryum,check
488106294126a946d6638d51,VisA,pipe_fryum,fit
4c5864792b29838bc78c660d,VisA,pipe_fryum,check
506bddff7441d7cb69a0d1f6,VisA,pipe_fryum,fit
529ebb620c7a23fa1dc19e3b,VisA,pipe_fryum,check
554414d351743129394aa8c3,VisA,pipe_fryum,fit
561f4149365504bbb366d290,VisA,pipe_fryum,check
5a79e753ad9046766ffef8a6,VisA,pipe_fryum,fit
5b8b451f31d6747adc98bd88,VisA,pipe_fryum,check
6000292f0b10bc56ead08e4b,VisA,pipe_fryum,fit
67503760fb5cc238958ce1ca,VisA,pipe_fryum,check
