image_id,category,method,candidate,x,y,right,bottom,native_x,native_y,native_right,native_bottom
034819db59fed268623329cd,capsules,grid8,0,0,64,128,192,0,125,375,375
034819db59fed268623329cd,capsules,grid8,1,128,64,256,192,375,125,750,375
034819db59fed268623329cd,capsules,grid8,2,256,64,384,192,750,125,1125,375
034819db59fed268623329cd,capsules,grid8,3,384,64,512,192,1125,125,1500,375
034819db59fed268623329cd,capsules,grid8,4,0,320,128,448,0,625,375,875
034819db59fed268623329cd,capsules,grid8,5,128,320,256,448,375,625,750,875
034819db59fed268623329cd,capsules,grid8,6,256,320,384,448,750,625,1125,875
034819db59fed268623329cd,capsules,grid8,7,384,320,512,448,1125,625,1500,875
034819db59fed268623329cd,capsules,mixed8,0,163,76,291,204,477,148,853,399
034819db59fed268623329cd,capsules,mixed8,1,85,39,213,167,249,76,625,327
034819db59fed268623329cd,capsules,mixed8,2,384,208,512,336,1125,406,1500,657
034819db59fed268623329cd,capsules,mixed8,3,280,198,408,326,820,386,1196,637
034819db59fed268623329cd,capsules,mixed8,4,320,64,448,192,937,125,1313,375
034819db59fed268623329cd,capsules,mixed8,5,64,320,192,448,187,625,563,875
034819db59fed268623329cd,capsules,mixed8,6,320,320,448,448,937,625,1313,875
034819db59fed268623329cd,capsules,mixed8,7,0,0,128,128,0,0,375,250
03d8ab7c6352f052febc78e0,capsules,top8,0,108,384,236,512,316,750,692,1000
03d8ab7c6352f052febc78e0,capsules,top8,1,0,252,128,380,0,492,375,743
03d8ab7c6352f052febc78e0,capsules,top8,2,203,200,331,328,594,390,970,641
03d8ab7c6352f052febc78e0,capsules,top8,3,340,163,468,291,996,318,1372,569
03d8ab7c6352f052febc78e0,capsules,top8,4,332,55,460,183,972,107,1348,358
03d8ab7c6352f052febc78e0,capsules,top8,5,334,234,462,362,978,457,1354,708
03d8ab7c6352f052febc78e0,capsules,top8,6,67,139,195,267,196,271,572,522
03d8ab7c6352f052febc78e0,capsules,top8,7,108,232,236,360,316,453,692,704
03d8ab7c6352f052febc78e0,capsules,grid8,0,0,64,128,192,0,125,375,375
03d8ab7c6352f052febc78e0,capsules,grid8,1,128,64,256,192,375,125,750,375
03d8ab7c6352f052febc78e0,capsules,grid8,2,256,64,384,192,750,125,1125,375
03d8ab7c6352f052febc78e0,capsules,grid8,3,384,64,512,192,1125,125,1500,375
03d8ab7c6352f052febc78e0,capsules,grid8,4,0,320,128,448,0,625,375,875
03d8ab7c6352f052febc78e0,capsules,grid8,5,128,320,256,448,375,625,750,875
03d8ab7c6352f052febc78e0,capsules,grid8,6,256,320,384,448,750,625,1125,875
03d8ab7c6352f052febc78e0,capsules,grid8,7,384,320,512,448,1125,625,1500,875
03d8ab7c6352f052febc78e0,capsules,mixed8,0,108,384,236,512,316,750,692,1000
03d8ab7c6352f052febc78e0,capsules,mixed8,1,0,252,128,380,0,492,375,743
03d8ab7c6352f052febc78e0,capsules,mixed8,2,203,200,331,328,594,390,970,641
03d8ab7c6352f052febc78e0,capsules,mixed8,3,340,163,468,291,996,318,1372,569
03d8ab7c6352f052febc78e0,capsules,mixed8,4,64,64,192,192,187,125,563,375
03d8ab7c6352f052febc78e0,capsules,mixed8,5,320,64,448,192,937,125,1313,375
03d8ab7c6352f052febc78e0,capsules,mixed8,6,64,320,192,448,187,625,563,875
03d8ab7c6352f052febc78e0,capsules,mixed8,7,320,320,448,448,937,625,1313,875
05b91854e3218bb7fff74ab9,capsules,top8,0,195,118,323,246,571,230,947,481
05b91854e3218bb7fff74ab9,capsules,top8,1,355,169,483,297,1040,330,1416,581
05b91854e3218bb7fff74ab9,capsules,top8,2,71,22,199,150,208,42,584,293
05b91854e3218bb7fff74ab9,capsules,top8,3,197,53,325,181,577,103,953,354
05b91854e3218bb7fff74ab9,capsules,top8,4,67,339,195,467,196,662,572,913
05b91854e3218bb7fff74ab9,capsules,top8,5,358,27,486,155,1048,52,1424,303
05b91854e3218bb7fff74ab9,capsules,top8,6,281,276,409,404,823,539,1199,790
05b91854e3218bb7fff74ab9,capsules,top8,7,66,229,194,357,193,447,569,698
05b91854e3218bb7fff74ab9,capsules,grid8,0,0,64,128,192,0,125,375,375
05b91854e3218bb7fff74ab9,capsules,grid8,1,128,64,256,192,375,125,750,375
05b91854e3218bb7fff74ab9,capsules,grid8,2,256,64,384,192,750,125,1125,375
05b91854e3218bb7fff74ab9,capsules,grid8,3,384,64,512,192,1125,125,1500,375
05b91854e3218bb7fff74ab9,capsules,grid8,4,0,320,128,448,0,625,375,875
05b91854e3218bb7fff74ab9,capsules,grid8,5,128,320,256,448,375,625,750,875
05b91854e3218bb7fff74ab9,capsules,grid8,6,256,320,384,448,750,625,1125,875
05b91854e3218bb7fff74ab9,capsules,grid8,7,384,320,512,448,1125,625,1500,875
05b91854e3218bb7fff74ab9,capsules,mixed8,0,195,118,323,246,571,230,947,481
05b91854e3218bb7fff74ab9,capsules,mixed8,1,355,169,483,297,1040,330,1416,581
05b91854e3218bb7fff74ab9,capsules,mixed8,2,71,22,199,150,208,42,584,293
05b91854e3218bb7fff74ab9,capsules,mixed8,3,197,53,325,181,577,103,953,354
05b91854e3218bb7fff74ab9,capsules,mixed8,4,64,64,192,192,187,125,563,375
05b91854e3218bb7fff74ab9,capsules,mixed8,5,320,64,448,192,937,125,1313,375
05b91854e3218bb7fff74ab9,capsules,mixed8,6,64,320,192,448,187,625,563,875
05b91854e3218bb7fff74ab9,capsules,mixed8,7,320,320,448,448,937,625,1313,875
0632f91792b863bb94bb5ecb,capsules,top8,0,36,98,164,226,105,191,481,442
0632f91792b863bb94bb5ecb,capsules,top8,1,268,107,396,235,785,208,1161,459
0632f91792b863bb94bb5ecb,capsules,top8,2,207,345,335,473,606,673,982,924
0632f91792b863bb94bb5ecb,capsules,top8,3,286,188,414,316,837,367,1213,618
0632f91792b863bb94bb5ecb,capsules,top8,4,148,0,276,128,433,0,809,250
0632f91792b863bb94bb5ecb,capsules,top8,5,276,313,404,441,808,611,1184,862
0632f91792b863bb94bb5ecb,capsules,top8,6,182,74,310,202,533,144,909,395
0632f91792b863bb94bb5ecb,capsules,top8,7,35,195,163,323,102,380,478,631
0632f91792b863bb94bb5ecb,capsules,grid8,0,0,64,128,192,0,125,375,375
0632f91792b863bb94bb5ecb,capsules,grid8,1,128,64,256,192,375,125,750,375
0632f91792b863bb94bb5ecb,capsules,grid8,2,256,64,384,192,750,125,1125,375
0632f91792b863bb94bb5ecb,capsules,grid8,3,384,64,512,192,1125,125,1500,375
0632f91792b863bb94bb5ecb,capsules,grid8,4,0,320,128,448,0,625,375,875
0632f91792b863bb94bb5ecb,capsules,grid8,5,128,320,256,448,375,625,750,875
0632f91792b863bb94bb5ecb,capsules,grid8,6,256,320,384,448,750,625,1125,875
0632f91792b863bb94bb5ecb,capsules,grid8,7,384,320,512,448,1125,625,1500,875
0632f91792b863bb94bb5ecb,capsules,mixed8,0,36,98,164,226,105,191,481,442
0632f91792b863bb94bb5ecb,capsules,mixed8,1,268,107,396,235,785,208,1161,459
0632f91792b863bb94bb5ecb,capsules,mixed8,2,207,345,335,473,606,673,982,924
0632f91792b863bb94bb5ecb,capsules,mixed8,3,286,188,414,316,837,367,1213,618
0632f91792b863bb94bb5ecb,capsules,mixed8,4,64,64,192,192,187,125,563,375
0632f91792b863bb94bb5ecb,capsules,mixed8,5,320,64,448,192,937,125,1313,375
0632f91792b863bb94bb5ecb,capsules,mixed8,6,64,320,192,448,187,625,563,875
0632f91792b863bb94bb5ecb,capsules,mixed8,7,320,320,448,448,937,625,1313,875
074325c08472083d737fcba6,capsules,top8,0,297,170,425,298,870,332,1246,583
074325c08472083d737fcba6,capsules,top8,1,25,342,153,470,73,667,449,918
074325c08472083d737fcba6,capsules,top8,2,277,235,405,363,811,458,1187,709
074325c08472083d737fcba6,capsules,top8,3,293,59,421,187,858,115,1234,366
074325c08472083d737fcba6,capsules,top8,4,379,300,507,428,1110,585,1486,836
074325c08472083d737fcba6,capsules,top8,5,384,0,512,128,1125,0,1500,250
074325c08472083d737fcba6,capsules,top8,6,21,0,149,128,61,0,437,250
074325c08472083d737fcba6,capsules,top8,7,352,235,480,363,1031,458,1407,709
074325c08472083d737fcba6,capsules,grid8,0,0,64,128,192,0,125,375,375
074325c08472083d737fcba6,capsules,grid8,1,128,64,256,192,375,125,750,375
074325c08472083d737fcba6,capsules,grid8,2,256,64,384,192,750,125,1125,375
074325c08472083d737fcba6,capsules,grid8,3,384,64,512,192,1125,125,1500,375
074325c08472083d737fcba6,capsules,grid8,4,0,320,128,448,0,625,375,875
074325c08472083d737fcba6,capsules,grid8,5,128,320,256,448,375,625,750,875
074325c08472083d737fcba6,capsules,grid8,6,256,320,384,448,750,625,1125,875
074325c08472083d737fcba6,capsules,grid8,7,384,320,512,448,1125,625,1500,875
074325c08472083d737fcba6,capsules,mixed8,0,297,170,425,298,870,332,1246,583
074325c08472083d737fcba6,capsules,mixed8,1,25,342,153,470,73,667,449,918
074325c08472083d737fcba6,capsules,mixed8,2,277,235,405,363,811,458,1187,709
074325c08472083d737fcba6,capsules,mixed8,3,293,59,421,187,858,115,1234,366
074325c08472083d737fcba6,capsules,mixed8,4,64,64,192,192,187,125,563,375
074325c08472083d737fcba6,capsules,mixed8,5,64,320,192,448,187,625,563,875
074325c08472083d737fcba6,capsules,mixed8,6,320,320,448,448,937,625,1313,875
074325c08472083d737fcba6,capsules,mixed8,7,0,0,128,128,0,0,375,250
09dc9cfb0f5f0c6e5358d145,capsules,top8,0,300,276,428,404,878,539,1254,790
09dc9cfb0f5f0c6e5358d145,capsules,top8,1,198,0,326,128,580,0,956,250
09dc9cfb0f5f0c6e5358d145,capsules,top8,2,17,160,145,288,49,312,425,563
09dc9cfb0f5f0c6e5358d145,capsules,top8,3,384,85,512,213,1125,166,1500,417
09dc9cfb0f5f0c6e5358d145,capsules,top8,4,384,248,512,376,1125,484,1500,735
09dc9cfb0f5f0c6e5358d145,capsules,top8,5,354,361,482,489,1037,705,1413,956
09dc9cfb0f5f0c6e5358d145,capsules,top8,6,162,149,290,277,474,291,850,542
09dc9cfb0f5f0c6e5358d145,capsules,top8,7,211,61,339,189,618,119,994,370
09dc9cfb0f5f0c6e5358d145,capsules,grid8,0,0,64,128,192,0,125,375,375
09dc9cfb0f5f0c6e5358d145,capsules,grid8,1,128,64,256,192,375,125,750,375
09dc9cfb0f5f0c6e5358d145,capsules,grid8,2,256,64,384,192,750,125,1125,375
09dc9cfb0f5f0c6e5358d145,capsules,grid8,3,384,64,512,192,1125,125,1500,375
09dc9cfb0f5f0c6e5358d145,capsules,grid8,4,0,320,128,448,0,625,375,875
09dc9cfb0f5f0c6e5358d145,capsules,grid8,5,128,320,256,448,375,625,750,875
09dc9cfb0f5f0c6e5358d145,capsules,grid8,6,256,320,384,448,750,625,1125,875
09dc9cfb0f5f0c6e5358d145,capsules,grid8,7,384,320,512,448,1125,625,1500,875
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,0,300,276,428,404,878,539,1254,790
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,1,198,0,326,128,580,0,956,250
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,2,17,160,145,288,49,312,425,563
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,3,384,85,512,213,1125,166,1500,417
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,4,64,64,192,192,187,125,563,375
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,5,320,64,448,192,937,125,1313,375
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,6,64,320,192,448,187,625,563,875
09dc9cfb0f5f0c6e5358d145,capsules,mixed8,7,320,320,448,448,937,625,1313,875
0b38ea5bd86c4923a78bc374,capsules,top8,0,24,34,152,162,70,66,446,317
0b38ea5bd86c4923a78bc374,capsules,top8,1,0,139,128,267,0,271,375,522
0b38ea5bd86c4923a78bc374,capsules,top8,2,204,26,332,154,597,50,973,301
0b38ea5bd86c4923a78bc374,capsules,top8,3,0,215,128,343,0,419,375,670
0b38ea5bd86c4923a78bc374,capsules,top8,4,78,0,206,128,228,0,604,250
0b38ea5bd86c4923a78bc374,capsules,top8,5,55,99,183,227,161,193,537,444
0b38ea5bd86c4923a78bc374,capsules,top8,6,34,372,162,500,99,726,475,977
0b38ea5bd86c4923a78bc374,capsules,top8,7,160,0,288,128,468,0,844,250
0b38ea5bd86c4923a78bc374,capsules,grid8,0,0,64,128,192,0,125,375,375
0b38ea5bd86c4923a78bc374,capsules,grid8,1,128,64,256,192,375,125,750,375
0b38ea5bd86c4923a78bc374,capsules,grid8,2,256,64,384,192,750,125,1125,375
0b38ea5bd86c4923a78bc374,capsules,grid8,3,384,64,512,192,1125,125,1500,375
0b38ea5bd86c4923a78bc374,capsules,grid8,4,0,320,128,448,0,625,375,875
0b38ea5bd86c4923a78bc374,capsules,grid8,5,128,320,256,448,375,625,750,875
0b38ea5bd86c4923a78bc374,capsules,grid8,6,256,320,384,448,750,625,1125,875
0b38ea5bd86c4923a78bc374,capsules,grid8,7,384,320,512,448,1125,625,1500,875
0b38ea5bd86c4923a78bc374,capsules,mixed8,0,24,34,152,162,70,66,446,317
0b38ea5bd86c4923a78bc374,capsules,mixed8,1,0,139,128,267,0,271,375,522
0b38ea5bd86c4923a78bc374,capsules,mixed8,2,204,26,332,154,597,50,973,301
0b38ea5bd86c4923a78bc374,capsules,mixed8,3,0,215,128,343,0,419,375,670
0b38ea5bd86c4923a78bc374,capsules,mixed8,4,64,64,192,192,187,125,563,375
0b38ea5bd86c4923a78bc374,capsules,mixed8,5,320,64,448,192,937,125,1313,375
0b38ea5bd86c4923a78bc374,capsules,mixed8,6,64,320,192,448,187,625,563,875
0b38ea5bd86c4923a78bc374,capsules,mixed8,7,320,320,448,448,937,625,1313,875
0d3deca4b0e32e2057cae97f,capsules,top8,0,224,160,352,288,656,312,1032,563
0d3deca4b0e32e2057cae97f,capsules,top8,1,153,191,281,319,448,373,824,624
0d3deca4b0e32e2057cae97f,capsules,top8,2,28,227,156,355,82,443,458,694
0d3deca4b0e32e2057cae97f,capsules,top8,3,384,173,512,301,1125,337,1500,588
0d3deca4b0e32e2057cae97f,capsules,top8,4,60,68,188,196,175,132,551,383
0d3deca4b0e32e2057cae97f,capsules,top8,5,346,330,474,458,1013,644,1389,895
0d3deca4b0e32e2057cae97f,capsules,top8,6,109,2,237,130,319,3,695,254
0d3deca4b0e32e2057cae97f,capsules,top8,7,316,138,444,266,925,269,1301,520
0d3deca4b0e32e2057cae97f,capsules,grid8,0,0,64,128,192,0,125,375,375
0d3deca4b0e32e2057cae97f,capsules,grid8,1,128,64,256,192,375,125,750,375
0d3deca4b0e32e2057cae97f,capsules,grid8,2,256,64,384,192,750,125,1125,375
0d3deca4b0e32e2057cae97f,capsules,grid8,3,384,64,512,192,1125,125,1500,375
0d3deca4b0e32e2057cae97f,capsules,grid8,4,0,320,128,448,0,625,375,875
0d3deca4b0e32e2057cae97f,capsules,grid8,5,128,320,256,448,375,625,750,875
0d3deca4b0e32e2057cae97f,capsules,grid8,6,256,320,384,448,750,625,1125,875
0d3deca4b0e32e2057cae97f,capsules,grid8,7,384,320,512,448,1125,625,1500,875
0d3deca4b0e32e2057cae97f,capsules,mixed8,0,224,160,352,288,656,312,1032,563
0d3deca4b0e32e2057cae97f,capsules,mixed8,1,153,191,281,319,448,373,824,624
0d3deca4b0e32e2057cae97f,capsules,mixed8,2,28,227,156,355,82,443,458,694
0d3deca4b0e32e2057cae97f,capsules,mixed8,3,384,173,512,301,1125,337,1500,588
0d3deca4b0e32e2057cae97f,capsules,mixed8,4,64,64,192,192,187,125,563,375
0d3deca4b0e32e2057cae97f,capsules,mixed8,5,320,64,448,192,937,125,1313,375
0d3deca4b0e32e2057cae97f,capsules,mixed8,6,64,320,192,448,187,625,563,875
0d3deca4b0e32e2057cae97f,capsules,mixed8,7,320,320,448,448,937,625,1313,875
0dc091049dc0a1f03092bd10,capsules,top8,0,62,172,190,300,181,335,557,586
0dc091049dc0a1f03092bd10,capsules,top8,1,133,172,261,300,389,335,765,586
0dc091049dc0a1f03092bd10,capsules,top8,2,44,49,172,177,128,95,504,346
0dc091049dc0a1f03092bd10,capsules,top8,3,384,363,512,491,1125,708,1500,959
0dc091049dc0a1f03092bd10,capsules,top8,4,253,38,381,166,741,74,1117,325
0dc091049dc0a1f03092bd10,capsules,top8,5,92,360,220,488,269,703,645,954
0dc091049dc0a1f03092bd10,capsules,top8,6,349,209,477,337,1022,408,1398,659
0dc091049dc0a1f03092bd10,capsules,top8,7,123,263,251,391,360,513,736,764
0dc091049dc0a1f03092bd10,capsules,grid8,0,0,64,128,192,0,125,375,375
0dc091049dc0a1f03092bd10,capsules,grid8,1,128,64,256,192,375,125,750,375
0dc091049dc0a1f03092bd10,capsules,grid8,2,256,64,384,192,750,125,1125,375
0dc091049dc0a1f03092bd10,capsules,grid8,3,384,64,512,192,1125,125,1500,375
0dc091049dc0a1f03092bd10,capsules,grid8,4,0,320,128,448,0,625,375,875
0dc091049dc0a1f03092bd10,capsules,grid8,5,128,320,256,448,375,625,750,875
0dc091049dc0a1f03092bd10,capsules,grid8,6,256,320,384,448,750,625,1125,875
0dc091049dc0a1f03092bd10,capsules,grid8,7,384,320,512,448,1125,625,1500,875
0dc091049dc0a1f03092bd10,capsules,mixed8,0,62,172,190,300,181,335,557,586
0dc091049dc0a1f03092bd10,capsules,mixed8,1,133,172,261,300,389,335,765,586
0dc091049dc0a1f03092bd10,capsules,mixed8,2,44,49,172,177,128,95,504,346
0dc091049dc0a1f03092bd10,capsules,mixed8,3,384,363,512,491,1125,708,1500,959
0dc091049dc0a1f03092bd10,capsules,mixed8,4,320,64,448,192,937,125,1313,375
0dc091049dc0a1f03092bd10,capsules,mixed8,5,64,320,192,448,187,625,563,875
0dc091049dc0a1f03092bd10,capsules,mixed8,6,320,320,448,448,937,625,1313,875
0dc091049dc0a1f03092bd10,capsules,mixed8,7,0,0,128,128,0,0,375,250
0e3e18366515ae2514a8e77d,capsules,top8,0,255,0,383,128,747,0,1123,250
0e3e18366515ae2514a8e77d,capsules,top8,1,159,384,287,512,465,750,841,1000
0e3e18366515ae2514a8e77d,capsules,top8,2,268,46,396,174,785,89,1161,340
0e3e18366515ae2514a8e77d,capsules,top8,3,190,0,318,128,556,0,932,250
0e3e18366515ae2514a8e77d,capsules,top8,4,352,225,480,353,1031,439,1407,690
0e3e18366515ae2514a8e77d,capsules,top8,5,33,330,161,458,96,644,472,895
0e3e18366515ae2514a8e77d,capsules,top8,6,278,318,406,446,814,621,1190,872
0e3e18366515ae2514a8e77d,capsules,top8,7,118,325,246,453,345,634,721,885
0e3e18366515ae2514a8e77d,capsules,grid8,0,0,64,128,192,0,125,375,375
0e3e18366515ae2514a8e77d,capsules,grid8,1,128,64,256,192,375,125,750,375
0e3e18366515ae2514a8e77d,capsules,grid8,2,256,64,384,192,750,125,1125,375
0e3e18366515ae2514a8e77d,capsules,grid8,3,384,64,512,192,1125,125,1500,375
0e3e18366515ae2514a8e77d,capsules,grid8,4,0,320,128,448,0,625,375,875
0e3e18366515ae2514a8e77d,capsules,grid8,5,128,320,256,448,375,625,750,875
0e3e18366515ae2514a8e77d,capsules,grid8,6,256,320,384,448,750,625,1125,875
0e3e18366515ae2514a8e77d,capsules,grid8,7,384,320,512,448,1125,625,1500,875
0e3e18366515ae2514a8e77d,capsules,mixed8,0,255,0,383,128,747,0,1123,250
0e3e18366515ae2514a8e77d,capsules,mixed8,1,159,384,287,512,465,750,841,1000
0e3e18366515ae2514a8e77d,capsules,mixed8,2,268,46,396,174,785,89,1161,340
0e3e18366515ae2514a8e77d,capsules,mixed8,3,190,0,318,128,556,0,932,250
0e3e18366515ae2514a8e77d,capsules,mixed8,4,64,64,192,192,187,125,563,375
0e3e18366515ae2514a8e77d,capsules,mixed8,5,320,64,448,192,937,125,1313,375
0e3e18366515ae2514a8e77d,capsules,mixed8,6,64,320,192,448,187,625,563,875
0e3e18366515ae2514a8e77d,capsules,mixed8,7,320,320,448,448,937,625,1313,875
0f78e1718fe95a9f71163e8b,capsules,top8,0,384,166,512,294,1125,324,1500,575
0f78e1718fe95a9f71163e8b,capsules,top8,1,384,272,512,400,1125,531,1500,782
0f78e1718fe95a9f71163e8b,capsules,top8,2,58,307,186,435,169,599,545,850
0f78e1718fe95a9f71163e8b,capsules,top8,3,38,241,166,369,111,470,487,721
0f78e1718fe95a9f71163e8b,capsules,top8,4,55,95,183,223,161,185,537,436
0f78e1718fe95a9f71163e8b,capsules,top8,5,291,62,419,190,852,121,1228,372
0f78e1718fe95a9f71163e8b,capsules,top8,6,363,384,491,512,1063,750,1439,1000
0f78e1718fe95a9f71163e8b,capsules,top8,7,195,123,323,251,571,240,947,491
0f78e1718fe95a9f71163e8b,capsules,grid8,0,0,64,128,192,0,125,375,375
0f78e1718fe95a9f71163e8b,capsules,grid8,1,128,64,256,192,375,125,750,375
0f78e1718fe95a9f71163e8b,capsules,grid8,2,256,64,384,192,750,125,1125,375
0f78e1718fe95a9f71163e8b,capsules,grid8,3,384,64,512,192,1125,125,1500,375
0f78e1718fe95a9f71163e8b,capsules,grid8,4,0,320,128,448,0,625,375,875
0f78e1718fe95a9f71163e8b,capsules,grid8,5,128,320,256,448,375,625,750,875
0f78e1718fe95a9f71163e8b,capsules,grid8,6,256,320,384,448,750,625,1125,875
0f78e1718fe95a9f71163e8b,capsules,grid8,7,384,320,512,448,1125,625,1500,875
0f78e1718fe95a9f71163e8b,capsules,mixed8,0,384,166,512,294,1125,324,1500,575
0f78e1718fe95a9f71163e8b,capsules,mixed8,1,384,272,512,400,1125,531,1500,782
0f78e1718fe95a9f71163e8b,capsules,mixed8,2,58,307,186,435,169,599,545,850
0f78e1718fe95a9f71163e8b,capsules,mixed8,3,38,241,166,369,111,470,487,721
0f78e1718fe95a9f71163e8b,capsules,mixed8,4,64,64,192,192,187,125,563,375
0f78e1718fe95a9f71163e8b,capsules,mixed8,5,320,64,448,192,937,125,1313,375
0f78e1718fe95a9f71163e8b,capsules,mixed8,6,320,320,448,448,937,625,1313,875
0f78e1718fe95a9f71163e8b,capsules,mixed8,7,0,0,128,128,0,0,375,250
1105707fa54824973b85fcd2,capsules,top8,0,262,10,390,138,767,19,1143,270
1105707fa54824973b85fcd2,capsules,top8,1,73,336,201,464,213,656,589,907
1105707fa54824973b85fcd2,capsules,top8,2,363,377,491,505,1063,736,1439,987
1105707fa54824973b85fcd2,capsules,top8,3,307,190,435,318,899,371,1275,622
1105707fa54824973b85fcd2,capsules,top8,4,150,4,278,132,439,7,815,258
1105707fa54824973b85fcd2,capsules,top8,5,240,315,368,443,703,615,1079,866
1105707fa54824973b85fcd2,capsules,top8,6,138,349,266,477,404,681,780,932
1105707fa54824973b85fcd2,capsules,top8,7,384,276,512,404,1125,539,1500,790
1105707fa54824973b85fcd2,capsules,grid8,0,0,64,128,192,0,125,375,375
1105707fa54824973b85fcd2,capsules,grid8,1,128,64,256,192,375,125,750,375
1105707fa54824973b85fcd2,capsules,grid8,2,256,64,384,192,750,125,1125,375
1105707fa54824973b85fcd2,capsules,grid8,3,384,64,512,192,1125,125,1500,375
1105707fa54824973b85fcd2,capsules,grid8,4,0,320,128,448,0,625,375,875
1105707fa54824973b85fcd2,capsules,grid8,5,128,320,256,448,375,625,750,875
1105707fa54824973b85fcd2,capsules,grid8,6,256,320,384,448,750,625,1125,875
1105707fa54824973b85fcd2,capsules,grid8,7,384,320,512,448,1125,625,1500,875
1105707fa54824973b85fcd2,capsules,mixed8,0,262,10,390,138,767,19,1143,270
1105707fa54824973b85fcd2,capsules,mixed8,1,73,336,201,464,213,656,589,907
1105707fa54824973b85fcd2,capsules,mixed8,2,363,377,491,505,1063,736,1439,987
1105707fa54824973b85fcd2,capsules,mixed8,3,307,190,435,318,899,371,1275,622
1105707fa54824973b85fcd2,capsules,mixed8,4,64,64,192,192,187,125,563,375
1105707fa54824973b85fcd2,capsules,mixed8,5,320,64,448,192,937,125,1313,375
1105707fa54824973b85fcd2,capsules,mixed8,6,320,320,448,448,937,625,1313,875
1105707fa54824973b85fcd2,capsules,mixed8,7,0,0,128,128,0,0,375,250
1231df93803c72ad88984451,capsules,top8,0,178,26,306,154,521,50,897,301
1231df93803c72ad88984451,capsules,top8,1,384,136,512,264,1125,265,1500,516
1231df93803c72ad88984451,capsules,top8,2,342,23,470,151,1001,44,1377,295
1231df93803c72ad88984451,capsules,top8,3,164,266,292,394,480,519,856,770
1231df93803c72ad88984451,capsules,top8,4,41,212,169,340,120,414,496,665
1231df93803c72ad88984451,capsules,top8,5,353,313,481,441,1034,611,1410,862
1231df93803c72ad88984451,capsules,top8,6,261,84,389,212,764,164,1140,415
1231df93803c72ad88984451,capsules,top8,7,338,190,466,318,990,371,1366,622
1231df93803c72ad88984451,capsules,grid8,0,0,64,128,192,0,125,375,375
1231df93803c72ad88984451,capsules,grid8,1,128,64,256,192,375,125,750,375
1231df93803c72ad88984451,capsules,grid8,2,256,64,384,192,750,125,1125,375
1231df93803c72ad88984451,capsules,grid8,3,384,64,512,192,1125,125,1500,375
