category,image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1,visual_path
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/005.png,1,0.85,141,129,160,147,150.55,137.67,294,0.915829,0.989454,0.362832,0.532468,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0039_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/005.png,2,0.85,78,87,95,104,87.00,95.03,246,0.925060,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0039_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/011.png,1,0.85,44,175,69,199,56.25,187.03,479,0.922112,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0040_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/013.png,1,0.85,135,28,155,66,145.42,47.06,588,0.904331,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0041_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/014.png,1,0.85,95,67,112,91,102.82,80.56,313,0.916791,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0042_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/014.png,2,0.85,138,146,156,165,146.97,155.61,274,0.887586,0.921070,0.148438,0.258503,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0042_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/015.png,1,0.85,96,85,121,102,108.11,93.72,330,0.921405,1.000000,0.233890,0.379110,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0043_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/016.png,1,0.85,133,79,159,97,146.77,88.19,392,0.927096,1.000000,0.358595,0.527891,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0044_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/017.png,1,0.85,123,44,141,68,131.75,55.22,336,0.914851,1.000000,0.168919,0.289017,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0045_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/020.png,1,0.85,161,57,192,81,175.25,69.57,568,0.921621,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0046_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/021.png,1,0.85,160,140,182,160,171.35,149.13,373,0.922234,1.000000,0.516883,0.681507,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0047_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/000.png,1,0.85,50,63,70,80,59.62,72.04,307,0.923702,1.000000,0.462926,0.632877,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0048_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/001.png,1,0.85,127,72,143,100,135.23,86.25,385,0.922114,1.000000,0.576923,0.731707,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0049_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/003.png,1,0.85,134,29,154,56,144.04,42.08,382,0.890224,0.926280,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0050_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/003.png,2,0.85,55,167,71,189,62.75,177.67,290,0.926076,1.000000,0.532808,0.695205,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0050_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/003.png,3,0.85,159,149,178,161,167.27,155.72,188,0.866431,0.885210,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0050_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/005.png,1,0.85,118,106,137,141,127.86,123.35,490,0.917554,1.000000,0.480769,0.649351,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0051_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/006.png,1,0.85,57,146,78,167,67.23,156.59,335,0.923764,1.000000,0.493578,0.660934,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0052_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/007.png,1,0.85,118,101,137,132,127.56,115.59,445,0.914419,1.000000,0.493197,0.660592,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0053_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/008.png,1,0.85,122,139,140,165,130.48,152.52,380,0.924766,0.998580,0.504082,0.670285,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0054_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/008.png,2,0.85,191,76,208,97,199.39,86.36,306,0.920007,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0054_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/009.png,1,0.85,11,171,33,194,22.03,182.07,419,0.922237,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0055_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/009.png,2,0.85,56,54,63,61,59.76,57.45,42,0.859890,0.870108,0.121212,0.216216,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0055_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/010.png,1,0.85,63,65,84,86,73.20,76.00,370,0.921949,1.000000,0.478079,0.646893,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0056_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/010.png,2,0.85,136,117,153,133,144.67,125.06,224,0.886761,0.931123,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0056_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/011.png,1,0.85,76,130,94,146,85.08,137.89,253,0.924104,1.000000,0.416873,0.588441,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0057_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/013.png,1,0.85,99,60,115,79,106.64,69.21,253,0.919789,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0058_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/013.png,2,0.85,98,144,109,165,103.03,154.66,203,0.889043,0.926489,0.147826,0.257576,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0058_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/015.png,1,0.85,92,99,108,122,100.26,109.58,337,0.908713,1.000000,0.204641,0.339755,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0059_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/015.png,2,0.85,18,10,29,21,23.29,15.66,112,0.885350,0.922832,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0059_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/015.png,3,0.85,139,186,148,197,143.40,191.35,75,0.860407,0.869409,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0059_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_top/019.png,1,0.85,131,160,148,180,139.34,170.00,282,0.919446,1.000000,0.447566,0.618370,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0060_candidates.png
