dataset,category,prompt_type,prompt,object_type,material_or_surface,inspection_focus
MVTec AD,wood,defect,a local defect on natural wood grain,natural textured material,wood surface with natural grain,scratch; hole; liquid stain; color defect
MVTec AD,generic,defect_scratch,a thin scratch on the surface,generic industrial defect,,thin; linear; surface damage; high local contrast
MVTec AD,generic,defect_scratch,a linear surface defect,generic industrial defect,,thin; linear; surface damage; high local contrast
MVTec AD,generic,defect_scratch,a damaged surface with a scratch,generic industrial defect,,thin; linear; surface damage; high local contrast
MVTec AD,generic,negative_scratch,regular texture,generic industrial normal pattern,,friction; handling damage; transportation damage; surface processing defect
MVTec AD,generic,negative_scratch,normal surface grain,generic industrial normal pattern,,friction; handling damage; transportation damage; surface processing defect
MVTec AD,generic,negative_scratch,expected manufacturing pattern,generic industrial normal pattern,,friction; handling damage; transportation damage; surface processing defect
MVTec AD,generic,defect_crack,a crack in the object,generic industrial defect,,irregular line; broken structure; sharp boundary
MVTec AD,generic,defect_crack,a broken surface region,generic industrial defect,,irregular line; broken structure; sharp boundary
MVTec AD,generic,defect_crack,an irregular fracture line,generic industrial defect,,irregular line; broken structure; sharp boundary
MVTec AD,generic,negative_crack,normal edge,generic industrial normal pattern,,material stress; impact; thermal stress; molding defect
MVTec AD,generic,negative_crack,regular seam,generic industrial normal pattern,,material stress; impact; thermal stress; molding defect
MVTec AD,generic,negative_crack,natural texture boundary,generic industrial normal pattern,,material stress; impact; thermal stress; molding defect
MVTec AD,generic,defect_contamination,foreign contamination on the product,generic industrial defect,,foreign material; local stain; unexpected blob; color inconsistency
MVTec AD,generic,defect_contamination,an unexpected stain or residue,generic industrial defect,,foreign material; local stain; unexpected blob; color inconsistency
MVTec AD,generic,defect_contamination,a dirty local region,generic industrial defect,,foreign material; local stain; unexpected blob; color inconsistency
MVTec AD,generic,negative_contamination,normal color variation,generic industrial normal pattern,,dust; oil; residue; insufficient cleaning
MVTec AD,generic,negative_contamination,expected texture,generic industrial normal pattern,,dust; oil; residue; insufficient cleaning
MVTec AD,generic,negative_contamination,lighting variation,generic industrial normal pattern,,dust; oil; residue; insufficient cleaning
MVTec AD,generic,defect_cut,a cut defect,generic industrial defect,,sharp local damage; thin gap; surface discontinuity
MVTec AD,generic,defect_cut,a sharp damaged line,generic industrial defect,,sharp local damage; thin gap; surface discontinuity
MVTec AD,generic,defect_cut,a local surface cut,generic industrial defect,,sharp local damage; thin gap; surface discontinuity
MVTec AD,generic,negative_cut,normal boundary,generic industrial normal pattern,,cutting damage; tool contact; handling damage
MVTec AD,generic,negative_cut,regular edge,generic industrial normal pattern,,cutting damage; tool contact; handling damage
MVTec AD,generic,negative_cut,expected object contour,generic industrial normal pattern,,cutting damage; tool contact; handling damage
MVTec AD,generic,defect_color,an abnormal color region,generic industrial defect,,local discoloration; abnormal color patch; uneven appearance
MVTec AD,generic,defect_color,a discoloration defect,generic industrial defect,,local discoloration; abnormal color patch; uneven appearance
MVTec AD,generic,defect_color,an unexpected color patch,generic industrial defect,,local discoloration; abnormal color patch; uneven appearance
MVTec AD,generic,negative_color,normal color variation,generic industrial normal pattern,,coating defect; staining; material inconsistency; illumination-independent color defect
MVTec AD,generic,negative_color,shadow,generic industrial normal pattern,,coating defect; staining; material inconsistency; illumination-independent color defect
MVTec AD,generic,negative_color,illumination change,generic industrial normal pattern,,coating defect; staining; material inconsistency; illumination-independent color defect
MVTec AD,generic,defect_deformation,a deformed object part,generic industrial defect,,bent part; shape distortion; misalignment; structural change
MVTec AD,generic,defect_deformation,a bent or distorted structure,generic industrial defect,,bent part; shape distortion; misalignment; structural change
MVTec AD,generic,defect_deformation,an abnormal shape,generic industrial defect,,bent part; shape distortion; misalignment; structural change
MVTec AD,generic,negative_deformation,normal pose variation,generic industrial normal pattern,,assembly error; mechanical stress; pressing defect; handling damage
MVTec AD,generic,negative_deformation,expected object geometry,generic industrial normal pattern,,assembly error; mechanical stress; pressing defect; handling damage
MVTec AD,generic,negative_deformation,regular structure,generic industrial normal pattern,,assembly error; mechanical stress; pressing defect; handling damage
