file,column,classified_as,dtype,non_null,unique_sample_count,numeric_min,numeric_max,numeric_mean,sample_values
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,batch_idx,other,int64,502,10,0,9,3.5239,0; 1; 2; 3; 4
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,item_idx,other,int64,502,8,0,7,3.48207,0; 1; 2; 3; 4
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,candidate_rank,key_or_geometry,int64,502,3,0,2,0.707171,0; 1; 2
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,image_path,key_or_geometry,str,502,243,,,,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000188_001_shift_1.png
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,mask_path,key_or_geometry,str,350,173,,,,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000187_001_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000188_001_shift_1.png
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,gt_label,label,bool,502,2,0,1,0.697211,True; False
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,pred_label,label,bool,502,2,0,1,0.691235,True; False
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,pred_score,other,float64,502,202,0.174143,1,0.630179,0.6107113361358643; 0.5817731618881226; 0.7540854215621948; 0.6158413290977478; 0.8422553539276123
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,image_width,other,int64,502,4,1400,4224,2702.75,4224; 1400; 2100; 2448
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,image_height,other,int64,502,4,1056,2048,1647,1056; 1900; 1520; 2048
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,anomaly_map_height,label,int64,502,1,256,256,256,256
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,anomaly_map_width,label,int64,502,1,256,256,256,256
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,map_x1,key_or_geometry,int64,502,188,7,232,119.016,38; 32; 70; 41; 23
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,map_y1,key_or_geometry,int64,502,191,7,245,130.837,40; 13; 235; 41; 11
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,map_x2,key_or_geometry,int64,502,185,19,256,146,72; 59; 90; 71; 58
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,map_y2,key_or_geometry,int64,502,192,21,256,161.131,75; 36; 244; 73; 34
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,map_area,quality_or_region_feature,int64,502,346,33,1311,621.08,825; 354; 132; 675; 543
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,candidate_score_max,quality_or_region_feature,float64,502,260,0.655078,1,0.947408,1.0; 0.9254418611526488; 0.8548479080200195; 0.9797162413597108; 0.8383731842041016
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,candidate_score_mean,quality_or_region_feature,float64,502,502,0.64865,0.965332,0.879593,0.888784646987915; 0.8683566451072693; 0.8388404846191406; 0.8934324383735657; 0.89033043384552
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,candidate_score_sum,other,float64,502,502,25.2309,1260.54,552.756,733.247314453125; 307.39825439453125; 110.72694396972656; 603.06689453125; 483.4494323730469
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,bbox_x1,key_or_geometry,int64,502,277,66,3762,1255.51,627; 528; 1155; 676; 379
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,bbox_y1,key_or_geometry,int64,502,272,45,1960,843.534,165; 53; 969; 169; 45
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,bbox_x2,key_or_geometry,int64,502,265,182,4059,1534.1,1188; 974; 1485; 1172; 957
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,bbox_y2,key_or_geometry,int64,502,275,116,2048,1043.6,310; 149; 1007; 302; 141
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_1p50_x1,key_or_geometry,int64,502,356,0,3472,864.89,0; 660; 3373; 3135; 338
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_1p50_y1,key_or_geometry,int64,502,322,0,1828,559.894,0; 912; 55; 11; 628
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_1p50_x2,key_or_geometry,int64,502,338,284,4224,1896.88,2030; 1643; 1980; 1916; 1824
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_1p50_y2,key_or_geometry,int64,502,265,161,2048,1284.52,528; 293; 1056; 502; 285
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,tight_crop_path,key_or_geometry,str,502,502,,,,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand00_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand01_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand02_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand00_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand01_tight.png
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_1p50_crop_path,key_or_geometry,str,502,502,,,,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand00_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand01_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand02_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand00_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand01_context_1.50.png
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,tight_gt_mask_pixels,label,float64,502,69,0,344970,35410.5,11670.0; 19294.0; 12550.0; 7264.0; 7091.0
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,tight_candidate_mask_pixels,quality_or_region_feature,float64,502,135,0,116755,7706.69,0.0; 512.0; 955.0; 1679.0; 1499.0
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,tight_candidate_covers_gt_ratio,label,float64,350,132,0,1,0.187472,0.0; 0.043873179091688; 0.0494972530320306; 0.0870218720845858; 0.0776925469057738
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,tight_candidate_mask_density,quality_or_region_feature,float64,350,151,0,1,0.152138,0.0; 0.0092272202998846; 0.0574747231584015; 0.0274131400208986; 0.0281512920673076
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_gt_mask_pixels,label,float64,502,69,0,344970,35410.5,11670.0; 19294.0; 12550.0; 7264.0; 7091.0
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_candidate_mask_pixels,vlm_or_text_score,float64,502,150,0,344970,18718.5,3922.0; 0.0; 5266.0; 3919.0; 3738.0
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_candidate_covers_gt_ratio,label,float64,350,116,0,1,0.397939,0.3360754070265638; 0.0; 0.4512425021422451; 0.3358183376178235; 0.1937389862133305
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,context_candidate_mask_density,vlm_or_text_score,float64,350,219,0,0.891791,0.0342267,0.0036591282280937; 0.0081470879665308; 0.0; 0.0040776351795323; 0.0075446291166512
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,dataset,other,str,502,1,,,,MVTec AD 2
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,category,key_or_geometry,str,502,4,,,,sheet_metal; vial; fruit_jelly; walnuts
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,batch_idx,other,int64,502,10,0,9,3.5239,0; 1; 2; 3; 4
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,item_idx,other,int64,502,8,0,7,3.48207,0; 1; 2; 3; 4
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,candidate_rank,key_or_geometry,int64,502,3,0,2,0.707171,0; 1; 2
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,image_path,key_or_geometry,str,502,243,,,,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000188_001_shift_1.png
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,mask_path,key_or_geometry,str,350,173,,,,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000187_001_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000188_001_shift_1.png
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,gt_label,label,bool,502,2,0,1,0.697211,True; False
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,pred_label,label,bool,502,2,0,1,0.691235,True; False
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,pred_score,other,float64,502,202,0.174143,1,0.630179,0.6107113361358643; 0.5817731618881226; 0.7540854215621948; 0.6158413290977478; 0.8422553539276123
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,image_width,other,int64,502,4,1400,4224,2702.75,4224; 1400; 2100; 2448
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,image_height,other,int64,502,4,1056,2048,1647,1056; 1900; 1520; 2048
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,anomaly_map_height,label,int64,502,1,256,256,256,256
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,anomaly_map_width,label,int64,502,1,256,256,256,256
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,map_x1,key_or_geometry,int64,502,188,7,232,119.016,38; 32; 70; 41; 23
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,map_y1,key_or_geometry,int64,502,191,7,245,130.837,40; 13; 235; 41; 11
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,map_x2,key_or_geometry,int64,502,185,19,256,146,72; 59; 90; 71; 58
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,map_y2,key_or_geometry,int64,502,192,21,256,161.131,75; 36; 244; 73; 34
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,map_area,quality_or_region_feature,int64,502,346,33,1311,621.08,825; 354; 132; 675; 543
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,candidate_score_max,quality_or_region_feature,float64,502,260,0.655078,1,0.947408,1.0; 0.9254418611526488; 0.8548479080200195; 0.9797162413597108; 0.8383731842041016
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,candidate_score_mean,quality_or_region_feature,float64,502,502,0.64865,0.965332,0.879593,0.888784646987915; 0.8683566451072693; 0.8388404846191406; 0.8934324383735657; 0.89033043384552
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,candidate_score_sum,other,float64,502,502,25.2309,1260.54,552.756,733.247314453125; 307.39825439453125; 110.72694396972656; 603.06689453125; 483.4494323730469
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,bbox_x1,key_or_geometry,int64,502,277,66,3762,1255.51,627; 528; 1155; 676; 379
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,bbox_y1,key_or_geometry,int64,502,272,45,1960,843.534,165; 53; 969; 169; 45
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,bbox_x2,key_or_geometry,int64,502,265,182,4059,1534.1,1188; 974; 1485; 1172; 957
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,bbox_y2,key_or_geometry,int64,502,275,116,2048,1043.6,310; 149; 1007; 302; 141
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_1p50_x1,key_or_geometry,int64,502,356,0,3472,864.89,0; 660; 3373; 3135; 338
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_1p50_y1,key_or_geometry,int64,502,322,0,1828,559.894,0; 912; 55; 11; 628
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_1p50_x2,key_or_geometry,int64,502,338,284,4224,1896.88,2030; 1643; 1980; 1916; 1824
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_1p50_y2,key_or_geometry,int64,502,265,161,2048,1284.52,528; 293; 1056; 502; 285
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_crop_path,key_or_geometry,str,502,502,,,,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand00_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand01_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand02_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand00_tight.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand01_tight.png
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_1p50_crop_path,key_or_geometry,str,502,502,,,,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand00_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand01_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand02_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand00_context_1.50.png; results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand01_context_1.50.png
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_gt_mask_pixels,label,float64,502,69,0,344970,35410.5,11670.0; 19294.0; 12550.0; 7264.0; 7091.0
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_candidate_mask_pixels,quality_or_region_feature,float64,502,135,0,116755,7706.69,0.0; 512.0; 955.0; 1679.0; 1499.0
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_candidate_covers_gt_ratio,label,float64,350,132,0,1,0.187472,0.0; 0.043873179091688; 0.0494972530320306; 0.0870218720845858; 0.0776925469057738
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_candidate_mask_density,quality_or_region_feature,float64,350,151,0,1,0.152138,0.0; 0.0092272202998846; 0.0574747231584015; 0.0274131400208986; 0.0281512920673076
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_gt_mask_pixels,label,float64,502,69,0,344970,35410.5,11670.0; 19294.0; 12550.0; 7264.0; 7091.0
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_candidate_mask_pixels,vlm_or_text_score,float64,502,150,0,344970,18718.5,3922.0; 0.0; 5266.0; 3919.0; 3738.0
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_candidate_covers_gt_ratio,label,float64,350,116,0,1,0.397939,0.3360754070265638; 0.0; 0.4512425021422451; 0.3358183376178235; 0.1937389862133305
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_candidate_mask_density,vlm_or_text_score,float64,350,219,0,0.891791,0.0342267,0.0036591282280937; 0.0081470879665308; 0.0; 0.0040776351795323; 0.0075446291166512
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,gt_binary,label,int64,502,2,0,1,0.697211,1; 0
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,patchcore_score,detector_score,float64,502,202,0.174143,1,0.630179,0.6107113361358643; 0.5817731618881226; 0.7540854215621948; 0.6158413290977478; 0.8422553539276123
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,clip_backend,vlm_or_text_score,str,502,1,,,,open_clip:ViT-B-32/openai
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_normal_score,other,float64,502,502,0.206861,0.317925,0.262007,0.2611356973648071; 0.2485453635454177; 0.2521777749061584; 0.2554931640625; 0.2572892904281616
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_anomaly_score,label,float64,502,502,0.20054,0.324923,0.274033,0.2785876393318176; 0.2649793326854706; 0.2661753892898559; 0.2729078829288482; 0.2748920023441314
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,tight_vlm_margin,vlm_or_text_score,float64,502,501,-0.00891572,0.0251023,0.0120263,0.0174519419670104; 0.0164339691400527; 0.0139976143836975; 0.0174147188663482; 0.0176027119159698
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_normal_score,vlm_or_text_score,float64,502,502,0.23055,0.337161,0.275213,0.2624165713787079; 0.2671807110309601; 0.252269983291626; 0.2495781779289245; 0.2518546879291534
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_anomaly_score,label,float64,502,502,0.228282,0.349946,0.284721,0.2773686647415161; 0.2831564247608185; 0.2693911790847778; 0.2628992199897766; 0.2672486901283264
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,context_vlm_margin,vlm_or_text_score,float64,502,502,-0.00554691,0.0223323,0.00950776,0.0149520933628082; 0.0159757137298584; 0.0171211957931518; 0.013321042060852; 0.0153940021991729
results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,dataset,other,str,243,1,,,,MVTec AD 2
results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,category,key_or_geometry,str,243,4,,,,sheet_metal; vial; fruit_jelly; walnuts
results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,image_path,key_or_geometry,str,243,243,,,,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png; /root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000188_001_shift_1.png
