category,image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1,visual_path
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/018.png,1,0.9,161,167,176,183,168.69,175.07,224,0.950381,1.000000,0.266393,0.420712,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0011_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/003.png,1,0.9,155,103,182,133,168.76,117.20,574,0.947328,1.000000,0.508197,0.673913,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0012_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/004.png,1,0.9,129,64,150,91,139.22,77.61,457,0.947443,1.000000,0.289548,0.449069,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0013_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/005.png,1,0.9,87,45,107,73,97.13,58.95,480,0.948848,1.000000,0.307071,0.469861,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0014_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/006.png,1,0.9,62,140,91,161,76.01,150.95,483,0.950029,1.000000,0.306533,0.469231,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0015_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/008.png,1,0.9,140,113,165,136,152.26,124.88,452,0.949865,1.000000,0.338521,0.505814,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0016_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/009.png,1,0.9,89,121,105,138,96.82,129.43,241,0.947642,1.000000,0.189003,0.317919,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0017_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/010.png,1,0.9,130,158,149,179,139.61,168.29,322,0.948409,1.000000,0.175202,0.298165,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0018_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/011.png,1,0.9,142,93,161,111,151.33,102.22,306,0.949605,1.000000,0.293605,0.453933,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0019_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/012.png,1,0.9,80,60,99,82,89.40,71.20,362,0.949498,1.000000,0.302752,0.464789,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0020_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/014.png,1,0.9,98,163,119,187,108.27,174.89,399,0.947324,1.000000,0.344371,0.512315,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0021_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/cut/018.png,1,0.9,163,51,188,72,175.22,61.57,408,0.947532,1.000000,0.296675,0.457594,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0022_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/fold/001.png,1,0.9,108,180,133,197,120.83,188.60,341,0.946634,1.000000,0.353028,0.521834,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0023_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/fold/004.png,1,0.9,117,159,171,177,146.11,168.85,787,0.947773,1.000000,0.259246,0.411748,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0024_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/fold/009.png,1,0.9,179,67,208,88,194.10,77.49,480,0.945608,1.000000,0.118489,0.211874,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0025_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/fold/011.png,1,0.9,70,47,93,62,81.62,54.47,316,0.948795,1.000000,0.368862,0.538933,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0026_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/fold/015.png,1,0.9,127,133,188,151,158.90,142.73,883,0.949801,1.000000,0.380352,0.551094,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0027_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/fold/016.png,1,0.9,175,40,207,59,191.68,49.31,522,0.950667,1.000000,0.235294,0.380952,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0028_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/001.png,1,0.9,40,111,58,129,48.89,120.23,286,0.948853,1.000000,0.506518,0.672435,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0029_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/004.png,1,0.9,60,142,77,158,68.66,150.11,247,0.948947,1.000000,0.202020,0.336134,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0030_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/007.png,1,0.9,155,186,171,203,162.76,194.89,236,0.947782,1.000000,0.437173,0.608379,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0031_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/008.png,1,0.9,127,27,143,45,134.78,36.12,245,0.947734,1.000000,0.290323,0.450000,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0032_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/009.png,1,0.9,25,100,43,118,34.07,108.79,281,0.948585,1.000000,0.437326,0.608527,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0033_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/011.png,1,0.9,125,43,141,58,133.00,50.56,210,0.947845,1.000000,0.583333,0.736842,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0034_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/014.png,1,0.9,53,30,69,47,61.14,38.55,245,0.947758,1.000000,0.568627,0.725000,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0035_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/glue/016.png,1,0.9,186,141,206,157,196.22,149.00,273,0.947929,1.000000,0.349673,0.518160,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0036_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/000.png,1,0.9,23,155,42,175,32.45,165.31,326,0.947974,1.000000,0.224138,0.366197,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0037_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/004.png,1,0.9,194,94,213,119,203.74,106.39,390,0.950632,1.000000,0.315789,0.480000,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0038_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/005.png,1,0.9,65,95,84,117,74.54,106.24,369,0.947926,1.000000,0.330623,0.496945,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0039_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/007.png,1,0.9,84,106,107,131,96.03,118.45,494,0.949626,1.000000,0.289474,0.448980,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0040_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/009.png,1,0.9,123,142,143,163,132.91,152.62,351,0.946951,1.000000,0.589744,0.741935,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0041_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/011.png,1,0.9,81,34,101,56,91.16,45.21,375,0.947564,1.000000,0.450739,0.621392,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0042_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/012.png,1,0.9,62,97,85,124,73.49,110.62,518,0.951718,1.000000,0.466919,0.636598,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0043_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/013.png,1,0.9,121,46,141,64,130.93,55.24,315,0.949177,1.000000,0.391045,0.562232,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0044_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/015.png,1,0.9,133,95,156,120,143.88,107.59,496,0.951651,1.000000,0.186275,0.314050,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0045_candidates.png
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/poke/017.png,1,0.9,183,146,204,171,193.32,158.44,444,0.950453,1.000000,0.245495,0.394213,results/analysis/patchcore_candidate_regions/MVTecAD/leather/candidate_regions/leather_0046_candidates.png
